capacity,base,neck,height
25,42,22,75
50,51,22,90
100,64,22,105
125,67,28,112
150,74,28,118
200,79,34,131
250,85,34,145
300,87,34,156
500,105,34,180
800,120,42,200
1000,131,42,220
2000,166,50,280
3000,187,52,310
5000,220,52,365
